thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,Correct
,,visual-only,0.04,1.25,9,3,stretched,0.602416,220,CW,56,1,1
,,visual-only,0.04,1,0,3,stretched,0.7707135,219,CW,56,1,
,,visual-only,0.04,1.25,1,3,stretched,0.0088178,229,CW,56,1,1
,,visual-only,0.04,1.25,8,3,stretched,1.9709446,202,CW,56,1,1
,,visual-only,0.04,0.75,2,3,stretched,0.6000894,230,CW,56,1,0
,,visual-only,0.04,1,2,6,squashed,0.9470418,229,CW,56,1,
,,visual-only,0.04,0.5,6,3,stretched,0.3707267,231,CW,56,1,0
,,visual-only,0.04,1.25,3,6,squashed,0.7695519,224,CW,56,1,0
,,visual-only,0.04,1.5,9,6,squashed,0.3064382,250,CW,56,1,0
,,visual-only,0.04,1,3,6,squashed,1.127488,227,CW,56,1,
,,visual-only,0.04,0.75,9,6,squashed,0.3194988,231,CW,56,1,1
,,visual-only,0.04,1.5,3,6,squashed,1.3878347,238,CW,56,1,0
,,visual-only,0.04,0.5,8,6,squashed,3.5565027,227,CW,56,1,1
,,visual-only,0.04,1,9,6,squashed,0.7629214,226,CW,56,1,
,,visual-only,0.04,1.5,8,6,squashed,1.3301431,226,CW,56,1,0
,,visual-only,0.04,0.75,5,6,squashed,0.4438109,232,CW,56,1,1
,,visual-only,0.04,0.75,8,6,squashed,0.4332359,228,CW,56,1,1
,,visual-only,0.04,1.25,7,6,squashed,0.4993828,208,CW,56,1,0
,,visual-only,0.04,0.5,2,6,squashed,1.7777243,248,CW,56,1,1
,,visual-only,0.04,1.25,5,6,squashed,2.0627547,226,CW,56,1,0
,,visual-only,0.04,0.5,1,3,stretched,0.2709256,226,CW,56,1,0
,,visual-only,0.04,0.5,3,3,stretched,1.1915297,241,CW,56,1,0
,,visual-only,0.04,0.75,0,3,stretched,5.1913688,226,CW,56,1,0
,,visual-only,0.04,1.5,6,6,squashed,2.202601,230,CW,56,1,0
,,visual-only,0.04,0.75,6,6,squashed,0.2684459,228,CW,56,1,1
,,visual-only,0.04,0.5,5,3,stretched,0.2996994,220,CW,56,1,0
,,visual-only,0.04,1,8,3,stretched,0.3259437,229,CW,56,1,
,,visual-only,0.04,1.25,2,3,stretched,0.5391662,265,CW,56,1,1
,,visual-only,0.04,0.5,9,3,stretched,0.258538,232,CW,56,1,0
,,visual-only,0.04,1,4,3,stretched,0.548902,244,CW,56,1,
,,visual-only,0.04,1.5,7,3,stretched,0.491248,233,CW,56,1,1
,,visual-only,0.04,0.75,7,6,squashed,0.4982407,221,CW,56,1,1
,,visual-only,0.04,0.5,0,3,stretched,1.1705973,228,CW,56,1,0
,,visual-only,0.04,1,5,3,stretched,0.7182914,248,CW,56,1,
,,visual-only,0.04,1.5,2,3,stretched,0.6490616,234,CW,56,1,1
,,visual-only,0.04,1,6,3,stretched,0.3296112,229,CW,56,1,
,,visual-only,0.04,0.5,7,6,squashed,0.7302781,239,CW,56,1,1
,,visual-only,0.04,1.25,4,3,stretched,0.7447538,245,CW,56,1,1
,,visual-only,0.04,0.75,4,3,stretched,0.5114162,230,CW,56,1,0
,,visual-only,0.04,1,7,3,stretched,0.5554675,203,CW,56,1,
,,visual-only,0.04,1,1,3,stretched,1.5723593,225,CW,56,1,
,,visual-only,0.04,1.5,4,3,stretched,0.3616714,229,CW,56,1,1
,,visual-only,0.04,0.5,4,3,stretched,0.4597555,242,CW,56,1,0
,,visual-only,0.04,1.5,0,3,stretched,0.5152915,230,CW,56,1,1
,,visual-only,0.04,1.5,1,6,squashed,0.7617186,235,CW,56,1,0
,,visual-only,0.04,0.75,1,3,stretched,0.2866448,236,CW,56,1,0
,,visual-only,0.04,1.25,6,6,squashed,0.9308488,220,CW,56,1,0
,,visual-only,0.04,1.5,5,6,squashed,0.5074773,228,CW,56,1,0
,,visual-only,0.04,1.25,0,6,squashed,0.3643607,233,CW,56,1,0
,,visual-only,0.04,0.75,3,3,stretched,0.5216091,191,CW,56,1,0
,,,,,,,,,,,,,0.377777778
